,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
1,0.0,10.527,10.326,10.924,11.782,10.912,10.252,10.162,10.065,10.238,10.858,10.658,11.147,11.144,11.61,10.554,11.384,10.8,11.079,10.941,10.929,11.968,11.476,11.985,11.262,11.63,11.583,12.915,11.131,11.131,11.27,12.871,11.131,11.597,11.635,11.498,11.488,11.036,11.346,11.547,10.72,10.731,10.369,10.293,10.215,10.322,10.251,9.869,10.238,11.144,10.562,10.324,10.357,11.563,10.633,10.693,11.574,10.86
2,10.894,0.0,0.628,0.721,1.6,1.63,0.345,0.345,0.423,0.331,0.469,0.148,0.944,0.941,1.078,1.272,2.102,0.698,0.876,0.738,0.726,1.457,1.269,1.44,1.055,1.451,1.498,1.916,0.924,0.924,1.063,1.912,0.924,2.315,1.499,2.216,2.206,1.754,2.064,1.564,1.438,1.449,1.087,1.011,1.555,1.378,1.591,0.925,0.331,0.941,0.864,1.042,1.075,2.281,0.737,0.548,1.367,1.578
3,10.855,1.364,0.0,0.989,1.561,3.305,1.061,0.971,0.874,1.047,1.42,1.495,1.212,1.209,1.346,0.933,1.658,0.865,1.144,1.006,0.994,1.418,1.23,1.401,1.016,1.412,1.459,1.877,0.885,0.885,1.024,1.873,0.885,2.384,1.46,1.716,1.706,3.429,1.776,1.525,3.113,3.124,2.762,2.686,2.608,1.131,2.644,2.262,1.047,1.209,1.592,2.717,2.75,2.35,0.698,1.255,1.328,3.253
4,11.247,0.629,2.19,0.0,1.126,2.087,0.957,0.957,1.03,0.943,0.685,0.76,0.477,0.474,0.611,0.669,1.223,0.13,0.409,0.073,0.061,0.983,0.795,0.966,0.581,0.977,1.024,1.442,0.45,0.45,0.589,1.438,0.45,2.772,1.025,1.281,1.271,2.211,1.341,1.09,1.895,1.906,1.544,1.468,1.39,1.213,1.426,1.382,0.943,0.474,0.857,1.499,1.532,2.738,0.809,0.52,0.893,2.035
5,11.66,0.823,2.033,0.613,0.0,0.71,1.151,1.151,1.224,1.137,0.879,0.954,0.92,0.917,0.805,1.041,0.239,0.795,0.852,0.503,0.491,0.475,0.827,0.492,0.511,0.137,0.09,0.977,0.88,0.88,1.002,0.973,0.88,0.965,0.446,0.297,0.287,0.765,0.357,0.106,0.902,1.267,1.273,1.662,1.584,1.407,1.62,1.576,1.137,0.917,1.051,1.693,1.306,0.931,0.976,0.714,0.925,0.739
6,11.037,1.21,1.74,1.194,0.87,0.0,1.666,1.576,1.479,1.652,1.266,1.344,1.058,1.055,1.432,0.828,0.472,1.171,1.472,1.084,1.072,1.056,1.121,1.073,1.154,0.718,0.671,1.159,1.461,1.461,1.185,1.155,1.461,0.685,0.723,0.586,0.576,0.936,0.434,0.635,0.215,0.557,0.563,0.641,0.799,1.736,0.835,1.283,1.652,1.055,1.094,0.932,0.899,0.651,1.363,1.101,1.219,0.163
7,10.406,0.674,0.473,1.651,2.171,1.301,0.0,0.309,0.078,0.014,1.005,0.805,2.019,2.016,1.999,0.943,1.773,1.527,1.806,1.668,1.656,1.811,1.623,1.794,1.409,2.019,1.972,3.304,1.858,1.858,1.417,2.266,1.858,1.986,2.024,1.887,1.877,1.425,1.735,1.936,1.109,1.12,0.758,0.682,0.604,1.049,0.64,0.596,0.014,2.016,0.709,0.713,0.746,1.952,1.36,0.84,1.721,1.249
8,11.075,0.501,0.3,1.209,2.261,1.391,0.09,0.0,0.168,0.076,0.832,0.632,1.432,1.429,2.089,1.033,1.863,1.085,1.364,1.226,1.214,1.638,1.45,1.621,1.236,1.632,1.679,2.097,1.105,1.105,1.244,2.093,1.105,2.076,1.68,1.977,1.967,1.515,1.825,1.745,1.199,1.21,0.848,0.772,1.316,1.139,1.352,0.44,0.076,1.429,0.536,1.425,0.836,2.042,0.918,0.667,1.548,1.339
9,10.328,0.72,0.519,1.573,2.093,1.223,0.445,0.355,0.0,0.431,1.005,0.851,1.941,1.938,1.921,0.865,1.695,1.449,1.728,1.59,1.578,1.811,1.623,1.794,1.409,1.941,1.894,3.226,1.78,1.78,1.417,3.182,1.78,1.908,1.946,1.809,1.799,1.347,1.657,1.858,1.031,1.042,0.68,0.604,0.526,1.01,0.562,0.518,0.431,1.938,0.755,0.635,0.668,1.874,1.282,0.84,1.721,1.171
10,10.42,0.707,0.506,1.665,2.185,1.315,0.014,0.342,0.111,0.0,1.019,0.838,2.033,2.03,2.013,0.957,1.787,1.541,1.82,1.682,1.67,1.825,1.637,1.808,1.423,2.033,1.986,3.318,1.872,1.872,1.431,2.28,1.872,2.0,2.038,1.901,1.891,1.439,1.749,1.95,1.123,1.134,0.772,0.696,0.618,1.063,0.654,0.61,0.0,2.03,0.742,0.727,0.76,1.966,1.374,0.854,1.735,1.263
