,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.0,0.32,0.325,0.64,1.664,2.322,2.192,3.288,4.225,2.79,2.538,3.982,6.012,4.435,3.331,3.235,3.236,3.694,3.733,5.577,4.086,4.404,5.307,4.63,5.835,5.06,5.729,7.263,7.113,5.328,5.852,5.317,6.568,7.582,7.97,6.654,6.1,5.953,6.841,6.786,7.092,7.508,7.509,7.756,6.687,6.457,9.076,8.406,8.017,9.275
2,0.32,0.0,0.044,0.945,1.452,2.11,1.98,3.076,4.013,2.578,2.326,3.77,5.8,4.223,3.119,3.023,3.024,3.482,3.521,5.365,3.874,4.192,5.095,4.418,5.623,4.848,5.517,7.051,6.901,5.116,5.64,5.105,6.356,7.37,7.758,6.442,5.888,5.741,6.629,6.574,6.88,7.296,7.297,7.544,6.475,6.245,8.864,8.194,7.805,9.063
3,0.335,0.044,0.0,0.94,1.457,2.115,1.985,3.081,4.018,2.583,2.331,3.775,5.805,4.228,3.124,3.028,3.029,3.487,3.526,5.37,3.879,4.197,5.1,4.423,5.628,4.853,5.522,7.056,6.906,5.121,5.645,5.11,6.361,7.375,7.763,6.447,5.893,5.746,6.634,6.579,6.885,7.301,7.302,7.549,6.48,6.25,8.869,8.199,7.81,9.068
4,0.575,0.831,0.836,0.0,1.853,2.511,2.288,2.913,3.85,2.927,2.727,4.171,5.751,4.624,3.52,3.424,3.425,3.883,3.922,5.766,4.275,4.593,5.046,4.872,5.574,5.249,5.468,6.888,6.738,5.345,5.477,4.942,6.193,7.207,7.595,6.279,5.725,7.319,7.03,6.411,6.717,7.133,7.134,7.381,6.312,6.082,8.701,8.031,7.642,8.9
5,2.765,2.445,2.44,3.098,0.0,0.821,1.27,1.895,2.832,1.909,1.36,3.667,4.733,5.048,2.998,2.492,2.449,3.752,3.791,4.616,4.144,4.386,4.028,4.234,4.556,5.0,4.45,5.87,5.72,4.707,4.459,3.924,5.175,6.189,6.577,5.261,4.707,6.301,7.459,5.393,5.699,6.495,6.496,6.363,5.294,5.064,7.683,7.013,6.624,7.882
6,2.398,2.078,2.073,2.731,1.064,0.0,0.562,1.807,1.628,0.758,0.96,3.263,5.025,4.057,2.612,2.106,2.063,3.377,3.416,4.399,3.708,2.917,4.32,3.876,4.067,4.682,3.961,5.782,5.632,4.619,4.751,3.836,5.087,6.101,6.489,5.173,4.999,5.234,6.122,5.685,5.611,6.407,6.408,6.275,5.206,4.976,7.595,6.925,6.536,7.794
7,2.268,1.948,1.943,2.601,0.72,0.348,0.0,1.574,1.636,0.816,2.03,3.271,4.639,3.927,2.62,2.114,2.071,3.385,3.424,4.61,3.578,3.896,3.934,3.76,4.462,4.552,3.976,5.396,5.246,4.233,4.365,3.45,4.701,5.715,6.103,4.787,4.233,5.827,6.333,4.919,5.225,6.021,6.022,5.889,4.82,4.59,7.209,6.539,6.15,7.408
8,3.168,3.107,3.102,3.484,2.407,1.897,1.905,0.0,1.116,1.097,2.809,2.454,3.295,2.952,3.134,1.962,1.919,3.616,3.655,4.803,3.912,2.29,2.312,2.138,3.118,2.572,3.012,4.645,3.074,2.611,2.743,2.699,3.95,4.964,5.352,4.036,2.991,3.71,4.661,3.677,4.474,4.399,4.4,5.138,4.069,3.839,6.458,5.788,5.399,6.657
9,4.038,3.977,3.972,4.227,2.129,1.619,1.627,1.676,0.0,0.819,1.693,1.169,2.984,2.428,1.64,0.846,0.803,2.381,2.42,3.403,2.773,1.766,2.279,1.614,2.807,2.688,2.587,3.547,3.19,2.727,2.859,2.592,4.229,4.534,4.254,3.237,3.107,3.826,4.777,3.793,3.376,4.515,4.516,4.69,4.348,4.518,7.137,6.467,6.078,7.336
10,2.866,3.058,3.053,3.199,1.31,1.126,0.944,1.007,0.828,0.0,1.613,2.463,3.444,2.779,1.812,1.306,1.263,2.577,2.616,3.599,2.969,2.117,2.739,3.076,3.267,2.845,3.161,4.982,4.832,3.819,3.951,3.036,4.287,5.301,5.689,4.373,4.199,4.434,5.322,4.885,4.811,5.607,5.608,5.475,4.406,4.176,6.795,6.125,5.736,6.994
