,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
1,0.0,11.262,20.621,34.686,39.202,50.507,51.44,57.78,59.789,49.292,37.567,47.194,43.083,38.456,33.579,35.63,38.238,24.863,28.484,28.18,27.57,25.503,24.503,20.112,19.918,18.408,14.622,9.863,3.905,11.951,20.596,25.206,17.281,19.897,11.859,7.7,15.386,19.287,30.227,37.772,29.367,40.361,26.894,25.172,12.907,10.503,18.982,28.961,38.943,40.702,49.845,58.147,64.06,60.399,55.18,56.939,48.661,59.389,57.888,50.357,48.239,46.982,42.282,43.479,48.272,54.849,60.633,63.405,77.879,63.584,46.34,52.623,57.01,57.654,65.036
2,11.332,0.0,15.778,49.107,54.282,62.197,66.52,72.86,74.869,57.252,52.647,38.471,34.36,29.733,24.856,26.907,29.515,16.14,19.761,19.471,18.847,16.794,36.661,11.403,9.56,9.685,5.016,2.992,12.386,7.254,11.873,16.497,8.558,9.539,7.552,13.533,5.028,11.707,19.869,52.852,23.04,44.376,20.997,15.748,7.529,12.748,19.494,56.358,67.608,69.367,76.247,86.707,84.007,80.346,86.898,83.341,75.351,85.791,77.156,77.047,74.929,51.391,46.691,47.888,52.681,59.258,65.042,103.905,105.556,101.25,73.03,79.025,80.727,80.046,84.983
3,20.591,15.943,0.0,16.307,20.823,28.738,33.061,39.401,41.41,30.913,19.188,18.155,31.642,37.515,31.221,33.272,38.932,26.7,26.126,40.636,29.99,24.024,47.023,21.648,10.014,15.122,13.193,16.445,23.675,22.206,19.864,35.888,19.546,7.873,22.667,27.47,12.423,4.164,16.727,19.393,9.245,17.184,5.845,6.176,12.58,10.823,9.629,13.917,34.186,35.945,42.825,53.285,50.585,46.924,53.476,49.919,41.929,52.369,43.734,43.625,41.507,51.101,49.853,51.05,55.843,67.163,58.976,73.276,72.134,59.417,39.608,45.603,47.305,46.624,51.561
4,31.751,51.66,13.412,0.0,14.726,22.641,26.964,33.304,35.313,24.816,13.091,19.162,25.545,31.418,40.57,42.621,32.835,36.049,35.475,49.985,39.339,45.947,56.372,48.607,23.226,45.64,26.405,29.135,34.835,50.712,42.146,45.237,47.331,21.085,51.173,72.518,25.635,17.376,21.434,13.296,13.396,15.885,10.923,16.143,24.531,21.983,19.11,16.839,28.089,29.848,36.728,47.188,44.488,40.827,47.379,43.822,35.832,46.272,37.637,37.528,35.41,45.004,43.756,44.953,49.746,56.323,62.107,64.386,66.037,61.731,33.511,39.506,41.208,40.527,45.464
5,38.89,54.441,20.551,14.17,0.0,19.552,23.875,25.943,27.952,16.287,4.183,12.973,19.352,25.225,43.351,45.402,26.642,38.83,38.256,52.766,42.12,48.728,59.153,51.388,25.063,48.421,30.994,56.783,41.974,53.493,44.927,48.018,50.112,28.224,53.954,75.299,32.774,24.515,15.245,3.854,9.816,5.554,13.393,17.573,31.67,29.122,26.249,20.279,31.529,33.288,40.168,50.628,47.928,44.267,50.819,47.262,39.272,49.712,41.077,40.968,38.85,48.444,47.196,50.458,53.186,59.763,65.547,67.826,69.477,65.171,36.951,42.946,44.648,43.967,48.904
6,50.139,62.426,28.536,20.976,19.545,0.0,10.193,15.641,17.65,11.428,17.91,27.453,36.311,42.184,51.336,53.387,43.601,46.815,46.241,60.751,50.105,56.713,67.138,59.373,39.543,56.406,41.529,64.768,53.223,61.478,52.912,56.003,58.097,36.209,61.939,83.284,44.712,32.5,29.725,15.452,22.62,17.93,26.047,30.377,42.919,40.371,35.374,27.203,22.166,24.708,34.707,27.538,24.838,19.225,27.729,37.291,39.285,41.028,40.203,37.699,40.165,55.335,54.087,55.284,60.077,53.663,49.639,44.736,46.387,42.081,36.449,34.262,44.434,41.942,25.814
7,51.198,66.749,32.859,25.299,23.868,10.53,0.0,12.392,12.139,11.035,22.233,31.776,40.634,46.507,55.659,57.71,47.924,51.138,50.564,65.074,54.428,61.036,71.461,63.696,43.866,60.729,45.852,69.091,54.282,65.801,57.235,60.326,62.42,40.532,66.262,87.607,45.771,36.823,34.048,19.775,26.943,20.059,30.37,34.7,43.978,41.43,38.557,32.587,34.189,36.731,42.592,35.423,30.576,29.062,35.614,45.24,47.234,48.977,48.152,45.648,48.114,60.752,59.504,60.701,65.494,61.612,57.588,52.685,57.866,50.03,49.259,42.211,52.383,49.891,33.699
8,57.2,72.751,38.861,31.301,25.971,15.303,7.196,0.0,4.943,15.932,28.235,31.289,46.636,52.509,61.661,63.712,53.926,57.14,56.566,71.076,60.43,67.038,77.463,69.698,49.868,66.731,70.693,75.093,60.284,71.803,63.237,66.328,68.422,46.534,72.264,93.609,51.773,42.825,40.05,25.777,32.945,24.621,36.372,40.702,49.98,47.432,44.559,38.589,37.185,39.727,49.726,42.557,39.857,36.196,42.748,52.31,54.304,56.047,55.222,52.718,55.184,66.754,65.506,66.703,71.496,68.682,64.658,59.755,61.406,57.1,55.261,49.281,59.453,56.961,40.833
9,59.209,74.76,40.87,33.31,27.98,17.312,12.139,4.943,0.0,17.606,30.244,35.819,48.645,54.518,63.67,65.721,55.935,59.149,58.575,73.085,62.439,69.047,79.472,71.707,51.877,68.74,72.702,77.102,62.293,73.812,65.246,68.337,70.431,48.543,74.273,95.618,53.782,44.834,42.059,27.786,34.954,26.63,38.381,42.711,51.989,49.441,46.568,40.598,39.194,41.736,51.813,44.644,39.797,38.283,44.835,54.397,56.391,58.134,57.309,54.805,57.271,68.782,67.515,68.712,73.505,70.833,66.809,61.842,56.443,59.187,57.27,51.368,61.54,59.048,42.92
10,49.057,64.608,30.718,23.158,16.287,10.617,11.82,15.569,17.578,0.0,16.48,21.618,28.34,34.213,47.517,38.053,35.63,48.997,48.423,62.933,46.286,58.895,69.32,61.555,36.924,58.588,42.855,66.95,52.141,63.66,55.094,58.185,60.279,38.391,64.121,85.466,44.377,34.682,27.106,16.137,24.802,14.937,28.229,33.065,41.837,39.289,36.416,30.446,32.499,35.041,45.04,37.871,35.171,31.51,38.062,47.624,49.618,51.361,50.536,48.032,50.498,58.611,57.363,58.56,63.353,63.996,59.972,55.069,56.72,52.414,47.118,44.595,54.767,52.275,36.147
11,37.255,52.806,18.916,11.954,4.183,17.917,22.24,28.58,30.589,16.48,0.0,12.557,18.936,24.809,41.716,43.767,26.226,37.195,36.621,51.131,40.485,47.093,57.518,49.753,24.647,46.786,30.578,55.148,40.339,51.858,43.292,46.383,48.477,26.589,52.319,73.664,31.139,22.88,14.829,5.673,8.181,3.039,11.758,15.938,30.035,27.487,24.614,18.644,29.894,31.653,38.533,48.993,46.293,42.632,49.184,45.627,37.637,48.077,39.442,39.333,37.215,46.809,45.561,47.015,51.551,58.128,63.912,66.191,67.842,63.536,35.316,41.311,43.013,42.332,47.269
